Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage
37.0,37.4,36.6,33.9,32.2,35.6,0.00716,0.0155,0.034,0.0069,0.00797,5.47,0.00979,0.00798,0.0393,0.0391,0.239,0.01,6.78,5,17,5,300,1.8,8.5,4.5,3.3,0.0303,5.0,4.5,4.8,4.2,3.1,3.8,3.6,8.1,2.9,7.0,65.1,0,0
38.8,35.8,41.8,32.9,33.6,32.2,0.00716,0.0156,0.0338,0.00714,0.00839,5.84,0.00931,0.00846,0.039,0.0386,0.235,0.0115,6.75,5,16,5,300,2.5,8.6,3.7,4.0,0.03,5.5,4.5,4.3,4.3,4.4,4.3,5.0,9.5,2.8,6.3,69.7,0,0
43.6,40.2,47.0,86.9,83.0,90.8,0.00786,0.0147,0.0336,0.00854,0.00781,5.33,0.00999,0.00684,0.039,0.0381,0.24,0.0105,11.4,9,28,9,400,68.0,9.0,4.33,5.33,0.0296,2.33,6.67,4.67,6.33,5.0,8.0,5.33,11.3,3.67,6.0,146.0,0,0
43.4,42.0,44.8,53.2,60.4,46.0,0.00824,0.0138,0.0336,0.00808,0.00741,5.42,0.00997,0.00642,0.0389,0.0381,0.24,0.0102,10.5,7,26,8,400,54.0,10.9,6.5,5.5,0.029,4.5,6.38,6.13,5.13,5.13,7.13,6.0,11.8,3.88,8.0,141.0,0,0
38.3,38.2,38.4,32.9,32.4,33.4,0.00843,0.015,0.0333,0.00856,0.00774,5.44,0.00997,0.00787,0.0388,0.0376,0.241,0.0106,9.48,6,20,5,400,24.9,11.7,6.3,5.3,0.029,5.4,5.7,6.2,5.0,5.1,5.5,5.7,10.9,3.2,8.4,109.0,0,0
39.2,41.4,37.0,32.7,32.6,32.8,0.00706,0.014,0.0333,0.00813,0.00724,5.44,0.00993,0.00797,0.0391,0.038,0.243,0.011,9.04,6,19,5,400,3.9,11.7,4.5,5.7,0.0294,4.5,5.8,5.1,5.8,4.9,4.8,5.3,10.0,2.8,7.2,82.0,0,0
38.1,41.6,34.6,33.8,28.2,39.4,0.00712,0.0193,0.0333,0.00864,0.00745,5.52,0.00914,0.00797,0.039,0.0374,0.241,0.011,8.61,6,18,5,400,4.0,12.1,3.7,5.5,0.0291,5.1,6.1,5.1,5.0,5.2,5.8,6.2,10.3,3.7,7.6,85.4,0,0
39.3,41.8,36.8,35.3,37.4,33.2,0.00702,0.0193,0.0333,0.00822,0.00686,5.63,0.00998,0.00801,0.0392,0.0372,0.242,0.011,8.37,5,17,5,400,4.5,12.5,3.7,4.3,0.0295,6.6,5.2,4.8,4.8,4.9,6.7,5.1,10.8,3.6,8.9,86.4,0,0
38.8,37.2,40.4,34.0,37.4,30.6,0.00753,0.0192,0.0332,0.00822,0.00664,5.71,0.00921,0.00767,0.0393,0.0374,0.24,0.0111,8.19,5,18,5,400,4.5,11.3,4.9,4.7,0.0294,6.3,5.8,4.9,6.2,4.3,6.8,5.2,11.1,4.0,9.0,89.0,0,0
39.5,38.4,40.6,34.2,29.8,38.6,0.00686,0.0182,0.0331,0.00893,0.00661,5.7,0.01,0.00763,0.0393,0.0371,0.238,0.0111,8.03,5,19,5,400,4.3,10.7,5.6,4.6,0.0291,4.4,6.4,5.5,6.0,6.0,5.7,5.9,11.3,3.9,7.8,88.1,0,0
