Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage
23.5,19.8,27.2,26.1,23.6,28.6,23.1,21.8,24.4,0.00699,0.0134,0.0339,0.00675,0.00817,0.847,0.0102,0.00627,0.0411,0.0371,0.226,0.0111,7.6,6,17,6,50,0.4,1.7,0.7,0.4,0.0407,0.6,0.6,0.3,0.4,1.1,1.1,1.1,1.4,0.4,1.2,11.4,0,0,0
24.0,25.2,22.8,26.5,24.0,29.0,24.4,25.6,23.2,0.00765,0.0144,0.0339,0.00576,0.00808,0.846,0.0102,0.00629,0.0398,0.0371,0.228,0.0111,7.64,6,23,6,50,0.6,1.1,0.7,0.4,0.0407,0.4,0.6,0.6,0.5,0.8,0.7,1.0,1.4,0.5,1.2,10.5,0,0,0
24.4,26.6,22.2,26.8,28.2,25.4,22.2,24.4,20.0,0.00697,0.0135,0.0338,0.00572,0.00878,0.879,0.00934,0.00629,0.0398,0.0371,0.228,0.0111,7.64,6,21,6,50,0.7,1.1,0.7,0.6,0.0407,0.8,0.7,0.7,0.3,0.6,0.5,0.5,1.1,0.3,1.2,9.8,0,0,0
23.5,21.0,26.0,27.0,25.0,29.0,23.5,24.2,22.8,0.0076,0.0146,0.0339,0.00648,0.00858,0.903,0.0102,0.00629,0.0399,0.0371,0.227,0.0107,7.64,6,19,6,50,0.5,1.5,0.6,0.8,0.0405,0.8,0.7,0.6,0.4,0.6,0.5,0.5,1.1,0.2,1.1,9.9,0,0,0
23.4,19.4,27.4,29.2,31.6,26.8,23.4,21.6,25.2,0.00695,0.0136,0.034,0.00686,0.00878,0.95,0.0119,0.00729,0.0389,0.037,0.229,0.012,7.67,6,19,6,50,0.6,1.7,1.1,0.5,0.0404,0.9,0.4,0.6,0.5,0.5,0.7,0.8,0.8,0.1,0.5,9.7,0,0,0
24.0,26.0,22.0,26.0,22.6,29.4,23.5,25.4,21.6,0.00695,0.0127,0.0337,0.00652,0.0085,1.0,0.0119,0.00628,0.0396,0.037,0.232,0.0123,7.65,6,18,6,50,0.8,1.4,1.1,0.4,0.039,0.8,0.3,0.5,0.6,0.3,0.8,1.1,1.1,0.2,0.7,10.1,0,0,0
28.3,25.6,31.0,27.7,27.6,27.8,24.3,23.8,24.8,0.00792,0.0158,0.0338,0.00657,0.00849,0.974,0.0113,0.00638,0.0394,0.0373,0.225,0.0126,7.79,6,22,6,100,34.7,5.33,2.0,3.0,0.0803,4.0,3.0,2.33,4.0,4.0,2.33,2.33,5.67,2.0,4.0,78.7,0,0,0
25.4,23.0,27.8,29.7,32.4,27.0,23.8,23.2,24.4,0.00748,0.0195,0.0337,0.00648,0.0088,1.02,0.0105,0.00638,0.0395,0.0375,0.228,0.0134,7.86,6,21,6,100,13.4,4.0,1.5,2.0,0.0788,2.13,1.75,1.75,2.0,1.88,1.38,1.63,3.75,1.25,3.25,41.6,0,0,0
26.6,29.4,23.8,25.9,30.0,21.8,23.9,25.6,22.2,0.011,0.0195,0.0336,0.00651,0.00816,1.07,0.0105,0.00702,0.0395,0.0374,0.228,0.013,7.9,6,21,6,100,0.7,2.7,1.3,1.5,0.0803,0.9,1.0,1.9,1.0,1.0,0.9,0.8,2.8,1.0,2.3,19.8,0,0,0
25.5,27.2,23.8,27.5,27.8,27.2,23.9,24.0,23.8,0.0112,0.0157,0.0337,0.00669,0.00814,1.13,0.0113,0.00648,0.0404,0.0375,0.229,0.0126,7.9,6,19,6,100,0.9,2.7,1.4,1.3,0.0803,1.0,1.1,2.0,1.6,1.5,1.4,1.1,3.0,0.8,1.8,21.6,0,0,0
